date,pluie,delta,skylight,gt_48hr
2015-03-02 03:16:53.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 03:21:53.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 03:26:53.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 03:31:55.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 03:36:55.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 03:41:56.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 03:46:58.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 03:51:59.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 03:57:00.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:02:01.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:07:01.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 04:12:01.000,0,0 days 00:05:00,NIGHT,False
2015-03-02 04:17:02.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:22:03.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:27:04.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:32:05.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:37:07.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 04:42:09.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 04:47:10.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:52:11.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 04:57:12.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:02:14.000,0,0 days 00:05:02,DAY,False
2015-03-02 05:07:15.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:12:16.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:17:17.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:22:18.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:27:19.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:32:20.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:37:21.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:42:22.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:47:23.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:52:24.000,0,0 days 00:05:01,DAY,False
2015-03-02 05:57:25.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:02:33.000,0,0 days 00:05:08,DAY,False
2015-03-02 06:07:32.000,0,0 days 00:04:59,DAY,False
2015-03-02 06:12:33.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:17:34.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:22:35.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:27:35.000,0,0 days 00:05:00,DAY,False
2015-03-02 06:32:36.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:37:36.000,0,0 days 00:05:00,DAY,False
2015-03-02 06:42:37.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:47:37.000,0,0 days 00:05:00,DAY,False
2015-03-02 06:52:38.000,0,0 days 00:05:01,DAY,False
2015-03-02 06:57:39.000,0,0 days 00:05:01,DAY,False
2015-03-02 07:02:41.000,0,0 days 00:05:02,DAY,False
2015-03-02 07:07:42.000,0,0 days 00:05:01,DAY,False
2015-03-02 07:12:43.000,0,0 days 00:05:01,DAY,False
2015-03-02 07:17:45.000,0,0 days 00:05:02,DAY,False
2015-03-02 07:22:45.000,0,0 days 00:05:00,DAY,False
2015-03-02 07:27:45.000,0,0 days 00:05:00,DAY,False
2015-03-02 07:32:46.000,0,0 days 00:05:01,DAY,False
2015-03-02 07:37:46.000,0,0 days 00:05:00,DAY,False
2015-03-02 07:42:46.000,0,0 days 00:05:00,DAY,False
2015-03-02 07:47:47.000,0,0 days 00:05:01,DAY,False
2015-03-02 07:52:48.000,0,0 days 00:05:01,DAY,False
2015-03-02 07:57:48.000,0,0 days 00:05:00,DAY,False
2015-03-02 08:02:50.000,0,0 days 00:05:02,DAY,False
2015-03-02 08:07:52.000,0,0 days 00:05:02,DAY,False
2015-03-02 08:12:53.000,0,0 days 00:05:01,DAY,False
2015-03-02 08:17:55.000,0,0 days 00:05:02,DAY,False
2015-03-02 08:22:56.000,0,0 days 00:05:01,DAY,False
2015-03-02 08:27:58.000,0,0 days 00:05:02,DAY,False
2015-03-02 08:32:58.000,0,0 days 00:05:00,DAY,False
2015-03-02 08:37:59.000,0,0 days 00:05:01,DAY,False
2015-03-02 08:42:59.000,0,0 days 00:05:00,DAY,False
2015-03-02 08:47:59.000,0,0 days 00:05:00,DAY,False
2015-03-02 08:53:01.000,0,0 days 00:05:02,DAY,False
2015-03-02 08:58:01.000,0,0 days 00:05:00,DAY,False
2015-03-02 09:03:02.000,0,0 days 00:05:01,DAY,False
2015-03-02 09:08:03.000,0,0 days 00:05:01,DAY,False
2015-03-02 09:13:03.000,0,0 days 00:05:00,DAY,False
2015-03-02 09:18:04.000,0,0 days 00:05:01,DAY,False
2015-03-02 09:23:04.000,0,0 days 00:05:00,DAY,False
2015-03-02 09:28:06.000,0,0 days 00:05:02,DAY,False
2015-03-02 09:33:06.000,0,0 days 00:05:00,DAY,False
2015-03-02 09:38:07.000,0,0 days 00:05:01,DAY,False
2015-03-02 09:43:08.000,0,0 days 00:05:01,DAY,False
2015-03-02 09:48:09.000,0,0 days 00:05:01,DAY,False
2015-03-02 09:53:09.000,0,0 days 00:05:00,DAY,False
2015-03-02 09:58:10.000,0,0 days 00:05:01,DAY,False
2015-03-02 10:03:12.000,0,0 days 00:05:02,DAY,False
2015-03-02 10:08:13.000,0,0 days 00:05:01,DAY,False
2015-03-02 10:13:14.000,0,0 days 00:05:01,DAY,False
2015-03-02 10:18:15.000,0,0 days 00:05:01,DAY,False
